City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,3 Beds,2 Beds,Studio,1 – 2 Beds,3 – 4 Beds,4 Beds,1 – 4 Beds
San Diego,Condos,CA,92108,"[{'bedroom_type': '1 Bed', 'price': '$1,75'}]","6780 Friars Rd, San Diego, CA 92108",https://www.apartments.com/6780-friars-rd-san-diego-ca-unit-233/cqppzqd/,1 BA,640 Sq Ft,640,12 Month Lease,Available Now,"$1,75",,,,,,,
Los Angeles,Condos,CA,90291,"[{'bedroom_type': '3 Beds', 'price': '$4,85'}]","Los Angeles, CA 90291",https://www.apartments.com/27-s-venice-blvd-los-angeles-ca/jw78f06/,3 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,"$4,85",,,,,,
San Jose,Condos,CA,95127,"[{'bedroom_type': '2 Beds', 'price': '$2,45'}]","247 N Capitol Ave, San Jose, CA 95127",https://www.apartments.com/247-n-capitol-ave-san-jose-ca-unit-263/jgw99n7/,1 BA,828 Sq Ft,828,12 Month Lease,Available Now,,,"$2,45",,,,,
Los Angeles,Condos,CA,90068,"[{'bedroom_type': 'Studio', 'price': '$1,49'}]","Los Angeles, CA 90068",https://www.apartments.com/3767-fredonia-dr-los-angeles-ca/cmtmkje/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,"$1,49",,,,
Huntington Beach,Condos,CA,92649,"[{'bedroom_type': 'Studio', 'price': '$1,70'}]","Huntington Beach, CA 92649",https://www.apartments.com/17088-st-andrews-ln-huntington-beach-ca/lny8pxg/,1 BA,500 Sq Ft,500,12 Month Lease,Available Now,,,,"$1,70",,,,
San Diego,Condos,CA,92108,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","2218 River Run Dr, San Diego, CA 92108",https://www.apartments.com/2218-river-run-dr-san-diego-ca-unit-100/fb57wrr/,2 BAs,942 Sq Ft,942,12 Month Lease,Available Now,,,"$2,49",,,,,
Morgan Hill,Condos,CA,95037,"[{'bedroom_type': '3 Beds', 'price': '$2,79'}]","Morgan Hill, CA 95037",https://www.apartments.com/16885-barnell-ave-morgan-hill-ca/j7m5dd5/,1½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$2,79",,,,,,
Oakland,Condos,CA,94611,"[{'bedroom_type': '1 Bed', 'price': '$2,45'}]","51 Echo Ave, Oakland, CA 94611",https://www.apartments.com/51-echo-ave-oakland-ca-unit-51a/xgj0m9q/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,"$2,45",,,,,,,
Sacramento,Condos,CA,95838,"[{'bedroom_type': '2 Beds', 'price': '$1,34'}]","Sacramento, CA 95838",https://www.apartments.com/431-morrison-ave-sacramento-ca/4jdevdh/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,,,"$1,34",,,,,
Red Bluff,Condos,CA,96080,"[{'bedroom_type': '2 Beds', 'price': '$77'}]","Red Bluff, CA 96080",https://www.apartments.com/500-rio-st-red-bluff-ca/fdyncqs/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,,,$77,,,,,
Daly City,Condos,CA,94015,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","Daly City, CA 94015",https://www.apartments.com/595-clarinada-ave-daly-city-ca/q6pp1cy/,1 BA,900 Sq Ft,900,1 Month Lease,Available Now,,,"$2,70",,,,,
Palm Springs,Condos,CA,92262,"[{'bedroom_type': '2 Beds', 'price': '$2,37'}]","200 Racquet Club E Rd, Palm Springs, CA 92262",https://www.apartments.com/200-racquet-club-e-rd-palm-springs-ca-unit-47/qeqc3bz/,2 BAs,"1,411 Sq Ft","1,411",2 Month Lease,Jan 29,,,"$2,37",,,,,
San Francisco,Condos,CA,94124,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","52 Innes Ct, San Francisco, CA 94124",https://www.apartments.com/52-innes-ct-san-francisco-ca-unit-212/5mfektm/,2 BAs,"1,060 Sq Ft","1,060",12 Month Lease,Available Now,,,"$3,50",,,,,
La Jolla,Condos,CA,92037,"[{'bedroom_type': 'Studio', 'price': '$1,795'}]","La Jolla, CA 92037",https://www.apartments.com/1261-prospect-st-la-jolla-ca/8vew1e3/,1 BA,400 Sq Ft,400,8 Month Lease,Available Now,,,,"$1,795",,,,
Los Angeles,Condos,CA,90031,"[{'bedroom_type': '2 Beds', 'price': '$2,49'}]","Los Angeles, CA 90031",https://www.apartments.com/3640-griffin-ave-los-angeles-ca/8qetn71/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,,"$2,49",,,,,
Los Angeles,Condos,CA,90024,"[{'bedroom_type': '2 Beds', 'price': '$4,50'}]","10535 Wilshire Blvd, Los Angeles, CA 90024",https://www.apartments.com/10535-wilshire-blvd-los-angeles-ca-unit-1801/dprv3lk/,2 BAs,"1,071 Sq Ft","1,071",12 Month Lease,Available Now,,,"$4,50",,,,,
San Mateo,Condos,CA,94401,"[{'bedroom_type': '1 Bed', 'price': '$2,10'}]","San Mateo, CA 94401",https://www.apartments.com/1501-e-3rd-ave-san-mateo-ca/05624g3/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,10",,,,,,,
Santa Ana,Condos,CA,92701,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","Santa Ana, CA 92701",https://www.apartments.com/1325-n-bush-st-santa-ana-ca/kn2k108/,1 BA,350 Sq Ft,350,12 Month Lease,Available Now,"$1,65",,,,,,,
Santa Monica,Condos,CA,90404,"[{'bedroom_type': '1 Bed', 'price': '$2,09'}]","Santa Monica, CA 90404",https://www.apartments.com/1233-14th-st-santa-monica-ca/qzmlm8y/,1 BA,574 Sq Ft,574,12 Month Lease,Available Now,"$2,09",,,,,,,
Castro Valley,Condos,CA,94546,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","21062 Gary Dr, Castro Valley, CA 94546",https://www.apartments.com/21062-gary-dr-castro-valley-ca-unit-112/pevexrt/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$2,60",,,,,
Los Angeles,Condos,CA,91364,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","Los Angeles, CA 91364",https://www.apartments.com/22005-alizondo-dr-los-angeles-ca/cclnzgg/,1 BA,750 Sq Ft,750,12 Month Lease,Available Now,"$2,20",,,,,,,
San Diego,Condos,CA,92130,"[{'bedroom_type': '2 Beds', 'price': '$2,95'}]","12966 Carmel Creek Rd, San Diego, CA 92130",https://www.apartments.com/12966-carmel-creek-rd-san-diego-ca-unit-141/dy1zshk/,2½ BAs,"1,400 Sq Ft","1,400",12 Month Lease,Available Now,,,"$2,95",,,,,
Manhattan Beach,Condos,CA,90266,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","Manhattan Beach, CA 90266",https://www.apartments.com/218-seaview-st-manhattan-beach-ca/0mk6883/,1 BA,450 Sq Ft,450,12 Month Lease,Available Now,"$2,60",,,,,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '1 Bed', 'price': '$1,89'}]","Los Angeles, CA 90035",https://www.apartments.com/1213-s-la-cienega-blvd-los-angeles-ca/29shqwb/,1 BA,760 Sq Ft,760,12 Month Lease,Available Now,"$1,89",,,,,,,
Downey,Condos,CA,90242,"[{'bedroom_type': '3 Beds', 'price': '$2,65'}]","Downey, CA 90242",https://www.apartments.com/8026-comolette-st-downey-ca/pblnlhs/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,"$2,65",,,,,,
San Diego,Condos,CA,92131,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","10914 Ivy Hill Dr, San Diego, CA 92131",https://www.apartments.com/10914-ivy-hill-dr-san-diego-ca-unit-1/ejv2yen/,2 BAs,900 Sq Ft,900,1 Month Lease,Available Now,,,"$2,60",,,,,
Tiburon,Condos,CA,94920,"[{'bedroom_type': 'Studio', 'price': '$2,50'}]","Tiburon, CA 94920",https://www.apartments.com/4-greenwood-ct-tiburon-ca/m5ybm2h/,1 BA,300 Sq Ft,300,12 Month Lease,Available Now,,,,"$2,50",,,,
Menlo Park,Condos,CA,94025,"[{'bedroom_type': '2 Beds', 'price': '$3,99'}]","675 Sharon Park Dr, Menlo Park, CA 94025",https://www.apartments.com/675-sharon-park-dr-menlo-park-ca-unit-0111/53j4s5q/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$3,99",,,,,
Los Angeles,Condos,CA,90008,"[{'bedroom_type': 'Studio', 'price': '$1,29'}]","Los Angeles, CA 90008",https://www.apartments.com/5019-august-st-los-angeles-ca/3xc8xle/,1 BA,10 Sq Ft,10,12 Month Lease,Available Now,,,,"$1,29",,,,
Vallejo,Condos,CA,94590,"[{'bedroom_type': '1 – 2 Beds', 'price': '$1,500'}]","Vallejo, CA 94590",https://www.apartments.com/815-louisiana-st-vallejo-ca/ty2wnf9/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,,,,"$1,500",,,
Ramona,Condos,CA,92065,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","Ramona, CA 92065",https://www.apartments.com/1035-olive-ave-ramona-ca/j5wvhp4/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,50",,,,,,,
Anaheim,Condos,CA,92805,"[{'bedroom_type': '2 Beds', 'price': '$2,40'}]","411 S Anaheim Blvd, Anaheim, CA 92805",https://www.apartments.com/411-s-anaheim-blvd-anaheim-ca-unit-2/z3t1ljy/,2 BAs,"1,150 Sq Ft","1,150",12 Month Lease,Available Now,,,"$2,40",,,,,
San Marcos,Condos,CA,92078,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","San Marcos, CA 92078",https://www.apartments.com/21387-crestwind-dr-san-marcos-ca/n8lh35n/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$1,70",,,,,,,
Los Angeles,Condos,CA,90731,"[{'bedroom_type': '3 – 4 Beds', 'price': '$2,850'}]","Los Angeles, CA 90731",https://www.apartments.com/461-w-2nd-st-los-angeles-ca/v93klcg/,2 BAs,"1,185 Sq Ft","1,185",12 Month Lease,Available Now,,,,,,"$2,850",,
Los Angeles,Condos,CA,90068,"[{'bedroom_type': '2 Beds', 'price': '$3,30'}]","6716 Hillpark Dr, Los Angeles, CA 90068",https://www.apartments.com/6716-hillpark-dr-los-angeles-ca-unit-206/t3ed3kb/,2 BAs,"1,293 Sq Ft","1,293",12 Month Lease,Available Now,,,"$3,30",,,,,
Los Angeles,Condos,CA,91604,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","Los Angeles, CA 91604",https://www.apartments.com/4442-coldwater-canyon-ave-los-angeles-ca/gqz8v5y/,2 BAs,"1,350 Sq Ft","1,350",12 Month Lease,Available Now,,,"$2,85",,,,,
Palo Alto,Condos,CA,94306,"[{'bedroom_type': '1 Bed', 'price': '$2,85'}]","566 Vista Ave, Palo Alto, CA 94306",https://www.apartments.com/566-vista-ave-palo-alto-ca-unit-a/70ltedz/,1 BA,528 Sq Ft,528,12 Month Lease,Available Now,"$2,85",,,,,,,
Concord,Condos,CA,94520,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","Concord, CA 94520",https://www.apartments.com/1125-lacey-ln-concord-ca/mlfvckh/,1 BA,680 Sq Ft,680,12 Month Lease,Available Now,"$1,70",,,,,,,
Los Angeles,Condos,CA,90025,"[{'bedroom_type': '3 – 4 Beds', 'price': '$3,599'}]","Los Angeles, CA 90025",https://www.apartments.com/2149-s-bentley-ave-los-angeles-ca/zfp1w1y/,3½ BAs,"1,199 Sq Ft","1,199",12 Month Lease,Available Now,,,,,,"$3,599",,
Oakland,Condos,CA,94611,"[{'bedroom_type': '1 Bed', 'price': '$1,99'}]","Oakland, CA 94611",https://www.apartments.com/385-fairmount-ave-oakland-ca/83pgbe1/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,99",,,,,,,
Mountain View,Condos,CA,94043,"[{'bedroom_type': '3 Beds', 'price': '$4,10'}]","620 Willowgate St, Mountain View, CA 94043",https://www.apartments.com/620-willowgate-st-mountain-view-ca-unit-4/efrvbyn/,2½ BAs,"1,690 Sq Ft","1,690",12 Month Lease,Available Now,,"$4,10",,,,,,
Concord,Condos,CA,94521,"[{'bedroom_type': '3 Beds', 'price': '$2,79'}]","4440 Eagle Peak Rd, Concord, CA 94521",https://www.apartments.com/4440-eagle-peak-rd-concord-ca-unit-b/hy7bss2/,2½ BAs,"1,460 Sq Ft","1,460",12 Month Lease,Available Now,,"$2,79",,,,,,
San Fernando,Condos,CA,91340,"[{'bedroom_type': '2 Beds', 'price': '$2,30'}]","San Fernando, CA 91340",https://www.apartments.com/1426-san-fernando-rd-san-fernando-ca/lk72b0d/,2½ BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$2,30",,,,,
Concord,Condos,CA,94518,"[{'bedroom_type': '1 Bed', 'price': '$1,55'}]","Concord, CA 94518",https://www.apartments.com/2710-laguna-st-concord-ca/vskr36d/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,"$1,55",,,,,,,
Seal Beach,Condos,CA,90740,"[{'bedroom_type': '1 Bed', 'price': '$1,72'}]","Seal Beach, CA 90740",https://www.apartments.com/1603-ocean-ave-seal-beach-ca/z3yqjpx/,1 BA,380 Sq Ft,380,12 Month Lease,Available Now,"$1,72",,,,,,,
Oakland,Condos,CA,94606,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","Oakland, CA 94606",https://www.apartments.com/1930-lakeshore-ave-oakland-ca/envfxwm/,2 BAs,"1,600 Sq Ft","1,600",24 Month Lease,Available Now,,,"$3,10",,,,,
Oakland,Condos,CA,94602,"[{'bedroom_type': '1 Bed', 'price': '$2,20'}]","Oakland, CA 94602",https://www.apartments.com/5025-woodminster-ln-oakland-ca/18530q5/,1 BA,819 Sq Ft,819,12 Month Lease,Available Now,"$2,20",,,,,,,
National City,Condos,CA,91950,"[{'bedroom_type': '2 Beds', 'price': '$1,80'}]","National City, CA 91950",https://www.apartments.com/331-e-5th-st-national-city-ca/s3f0r47/,1 BA,950 Sq Ft,950,12 Month Lease,Available Now,,,"$1,80",,,,,
Sunnyvale,Condos,CA,94086,"[{'bedroom_type': '2 Beds', 'price': '$2,99'}]","Sunnyvale, CA 94086",https://www.apartments.com/223-arriba-dr-sunnyvale-ca/s7hej25/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$2,99",,,,,
San Mateo,Condos,CA,94403,"[{'bedroom_type': '1 Bed', 'price': '$2,39'}]","San Mateo, CA 94403",https://www.apartments.com/2660-flores-st-san-mateo-ca/6wd4yvr/,1 BA,700 Sq Ft,700,12 Month Lease,Available Now,"$2,39",,,,,,,
San Francisco,Condos,CA,94124,"[{'bedroom_type': '1 Bed', 'price': '$2,60'}]","451 Donahue St, San Francisco, CA 94124",https://www.apartments.com/451-donahue-st-san-francisco-ca-unit-308/3ny1tzd/,1 BA,680 Sq Ft,680,12 Month Lease,Available Now,"$2,60",,,,,,,
Los Angeles,Condos,CA,90035,"[{'bedroom_type': '3 Beds', 'price': '$3,45'}]","Los Angeles, CA 90035",https://www.apartments.com/8704-gregory-way-los-angeles-ca/4l6k15j/,2 BAs,"1,600 Sq Ft","1,600",12 Month Lease,Available Now,,"$3,45",,,,,,
Malibu,Condos,CA,90265,"[{'bedroom_type': '2 Beds', 'price': '$4,20'}]","11956 Oceanaire Ln, Malibu, CA 90265",https://www.apartments.com/11956-oceanaire-ln-malibu-ca-unit-1/l93zqmf/,2 BAs,986 Sq Ft,986,12 Month Lease,Available Now,,,"$4,20",,,,,
Milpitas,Condos,CA,95035,"[{'bedroom_type': '3 Beds', 'price': '$3,45'}]","1852 Snell Pl, Milpitas, CA 95035",https://www.apartments.com/1852-snell-pl-milpitas-ca-unit-1852/399kllg/,3 BAs,"1,256 Sq Ft","1,256",12 Month Lease,Available Now,,"$3,45",,,,,,
San Francisco,Condos,CA,94121,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","San Francisco, CA 94121",https://www.apartments.com/677-46th-ave-san-francisco-ca/pekhn9t/,1 BA,400 Sq Ft,400,12 Month Lease,Available Now,"$2,50",,,,,,,
San Jose,Condos,CA,95125,"[{'bedroom_type': '3 Beds', 'price': '$3,10'}]","San Jose, CA 95125",https://www.apartments.com/1191-brace-ave-san-jose-ca/9ldtw85/,2 BAs,"1,216 Sq Ft","1,216",12 Month Lease,Available Now,,"$3,10",,,,,,
Los Angeles,Condos,CA,91311,"[{'bedroom_type': '1 Bed', 'price': '$1,60'}]","Los Angeles, CA 91311",https://www.apartments.com/9919-de-soto-ave-los-angeles-ca/nnkvcbn/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,60",,,,,,,
El Cajon,Condos,CA,92019,"[{'bedroom_type': 'Studio', 'price': '$1,50'}]","El Cajon, CA 92019",https://www.apartments.com/1756-vista-del-valle-blvd-el-cajon-ca/lyt53be/,1 BA,630 Sq Ft,630,12 Month Lease,Available Now,,,,"$1,50",,,,
Los Angeles,Condos,CA,90017,"[{'bedroom_type': '2 Beds', 'price': '$4,00'}]","1100 Wilshire Blvd, Los Angeles, CA 90017",https://www.apartments.com/1100-wilshire-blvd-los-angeles-ca-unit-2811/1gnyjk7/,1½ BAs,"1,280 Sq Ft","1,280",12 Month Lease,Available Now,,,"$4,00",,,,,
Los Angeles,Condos,CA,90036,"[{'bedroom_type': '2 Beds', 'price': '$3,25'}]","Los Angeles, CA 90036",https://www.apartments.com/430-s-fuller-ave-los-angeles-ca/6gjdg0r/,2 BAs,"1,120 Sq Ft","1,120",12 Month Lease,Available Now,,,"$3,25",,,,,
Sacramento,Condos,CA,95816,"[{'bedroom_type': '1 Bed', 'price': '$1,34'}]","Sacramento, CA 95816",https://www.apartments.com/1520-25th-st-sacramento-ca/vqv1n6g/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,34",,,,,,,
San Mateo,Condos,CA,94403,"[{'bedroom_type': '2 Beds', 'price': '$3,38'}]","San Mateo, CA 94403",https://www.apartments.com/1301-palos-verdes-dr-san-mateo-ca/4vmy8zl/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$3,38",,,,,
Sausalito,Condos,CA,94965,"[{'bedroom_type': '2 Beds', 'price': '$9,90'}]","100 South St, Sausalito, CA 94965",https://www.apartments.com/100-south-st-sausalito-ca-unit-309/kntfgp8/,2 BAs,"1,330 Sq Ft","1,330",,Available Now,,,"$9,90",,,,,
Morgan Hill,Condos,CA,95037,"[{'bedroom_type': '1 – 2 Beds', 'price': '$2,600'}]","Morgan Hill, CA 95037",https://www.apartments.com/16730-barnell-ave-morgan-hill-ca/rkxy1z1/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,,,"$2,600",,,
Huntington Beach,Condos,CA,92649,"[{'bedroom_type': '3 Beds', 'price': '$3,25'}]","4581 Warner Ave, Huntington Beach, CA 92649",https://www.apartments.com/4581-warner-ave-huntington-beach-ca-unit-205/pqg78kr/,2 BAs,"1,290 Sq Ft","1,290",1 Month Lease,Available Now,,"$3,25",,,,,,
Diamond Bar,Condos,CA,91765,"[{'bedroom_type': '2 Beds', 'price': '$2,00'}]","901 Golden Springs Dr, Diamond Bar, CA 91765",https://www.apartments.com/901-golden-springs-dr-diamond-bar-ca-unit-f12/f8mx4lv/,2 BAs,926 Sq Ft,926,12 Month Lease,Available Now,,,"$2,00",,,,,
San Bruno,Condos,CA,94066,"[{'bedroom_type': '4 Beds', 'price': '$4,30'}]","625 San Mateo Ave, San Bruno, CA 94066",https://www.apartments.com/625-san-mateo-ave-san-bruno-ca-unit-625/h4pcd03/,3 BAs,"3,000 Sq Ft","3,000",12 Month Lease,Available Now,,,,,,,"$4,30",
San Francisco,Condos,CA,94107,"[{'bedroom_type': '4 Beds', 'price': '$4,85'}]","289 Connecticut St, San Francisco, CA 94107",https://www.apartments.com/289-connecticut-st-san-francisco-ca-unit-1/ymsqfws/,2 BAs,"1,432 Sq Ft","1,432",12 Month Lease,Available Now,,,,,,,"$4,85",
Saratoga,Condos,CA,95070,"[{'bedroom_type': '2 Beds', 'price': '$3,40'}]","Saratoga, CA 95070",https://www.apartments.com/14301-saratoga-ave-saratoga-ca/bl4546c/,2½ BAs,"1,050 Sq Ft","1,050",,Available Now,,,"$3,40",,,,,
Sausalito,Condos,CA,94965,"[{'bedroom_type': '2 Beds', 'price': '$7,90'}]","100 South St, Sausalito, CA 94965",https://www.apartments.com/100-south-st-sausalito-ca-unit-309/w0vb5rj/,2 BAs,"1,330 Sq Ft","1,330",,Available Now,,,"$7,90",,,,,
Oakland,Condos,CA,94602,"[{'bedroom_type': '1 Bed', 'price': '$1,80'}]","Oakland, CA 94602",https://www.apartments.com/3310-robinson-dr-oakland-ca/tm42hrc/,1 BA,190 Sq Ft,190,12 Month Lease,Available Now,"$1,80",,,,,,,
Huntington Beach,Condos,CA,92647,"[{'bedroom_type': '2 Beds', 'price': '$2,09'}]","Huntington Beach, CA 92647",https://www.apartments.com/16581-sabot-ln-huntington-beach-ca/0sksvc2/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$2,09",,,,,
San Francisco,Condos,CA,94108,"[{'bedroom_type': '1 Bed', 'price': '$2,50'}]","San Francisco, CA 94108",https://www.apartments.com/1254-taylor-st-san-francisco-ca/cb0z2rd/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$2,50",,,,,,,
San Clemente,Condos,CA,92672,"[{'bedroom_type': '2 Beds', 'price': '$2,37'}]","1066 Calle Del Cerro, San Clemente, CA 92672",https://www.apartments.com/1066-calle-del-cerro-san-clemente-ca-unit-1405/s29fq36/,2 BAs,823 Sq Ft,823,12 Month Lease,Available Now,,,"$2,37",,,,,
San Rafael,Condos,CA,94903,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","301 North Ave, San Rafael, CA 94903",https://www.apartments.com/301-north-ave-san-rafael-ca-unit-206/qzsqndz/,2 BAs,986 Sq Ft,986,12 Month Lease,Available Now,,,"$3,10",,,,,
Imperial Beach,Condos,CA,91932,"[{'bedroom_type': '2 Beds', 'price': '$1,65'}]","Imperial Beach, CA 91932",https://www.apartments.com/740-georgia-st-imperial-beach-ca/chw5j1d/,1 BA,820 Sq Ft,820,12 Month Lease,Available Now,,,"$1,65",,,,,
Los Angeles,Condos,CA,91304,"[{'bedroom_type': '1 Bed', 'price': '$1,47'}]","Los Angeles, CA 91304",https://www.apartments.com/8821-owensmouth-ave-los-angeles-ca/rm5glv1/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,47",,,,,,,
Mill Valley,Condos,CA,94941,"[{'bedroom_type': '1 Bed', 'price': '$2,40'}]","Mill Valley, CA 94941",https://www.apartments.com/332-richardson-dr-mill-valley-ca/eryg01q/,1 BA,650 Sq Ft,650,12 Month Lease,Available Now,"$2,40",,,,,,,
Avila Beach,Condos,CA,93424,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","Avila Beach, CA 93424",https://www.apartments.com/389-2nd-st-avila-beach-ca/vlh7g0g/,1 BA,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$3,50",,,,,
San Geronimo,Condos,CA,94963,"[{'bedroom_type': '2 Beds', 'price': '$2,87'}]","567 San Geronimo Valley Dr, San Geronimo, CA 94963",https://www.apartments.com/567-san-geronimo-valley-dr-san-geronimo-ca-unit-duplex/7mtxk8w/,1 BA,810 Sq Ft,810,12 Month Lease,Available Now,,,"$2,87",,,,,
Oceanside,Condos,CA,92054,"[{'bedroom_type': '1 Bed', 'price': '$2,30'}]","999 N Pacific St, Oceanside, CA 92054",https://www.apartments.com/999-n-pacific-st-oceanside-ca-unit-e104/dpfmysj/,1 BA,760 Sq Ft,760,1 Month Lease,Available Now,"$2,30",,,,,,,
Walnut Creek,Condos,CA,94597,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","2550 Oak Rd, Walnut Creek, CA 94597",https://www.apartments.com/2550-oak-rd-walnut-creek-ca-unit-208/f5g32qs/,2 BAs,"1,080 Sq Ft","1,080",9 Month Lease,Available Now,,,"$2,85",,,,,
Malibu,Condos,CA,90265,"[{'bedroom_type': '1 Bed', 'price': '$7,00'}]","Malibu, CA 90265",https://www.apartments.com/25408-malibu-rd-malibu-ca/my2tjwk/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$7,00",,,,,,,
Anaheim,Condos,CA,92802,"[{'bedroom_type': '1 Bed', 'price': '$1,67'}]","2104 S Lewis St, Anaheim, CA 92802",https://www.apartments.com/2104-s-lewis-st-anaheim-ca/w7ykv9j/,1 BA,711 Sq Ft,711,10 Month Lease,Available Now,"$1,67",,,,,,,
San Jose,Condos,CA,95128,"[{'bedroom_type': '1 Bed', 'price': '$1,70'}]","San Jose, CA 95128",https://www.apartments.com/936-del-mar-ave-san-jose-ca/sw7bex7/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,"$1,70",,,,,,,
Thousand Oaks,Condos,CA,91362,"[{'bedroom_type': '3 Beds', 'price': '$2,65'}]","Thousand Oaks, CA 91362",https://www.apartments.com/3185-los-robles-rd-thousand-oaks-ca/pq6kf8t/,2 BAs,"1,300 Sq Ft","1,300",12 Month Lease,Available Now,,"$2,65",,,,,,
Ridgecrest,Condos,CA,93555,"[{'bedroom_type': '2 Beds', 'price': '$1,39'}]","Ridgecrest, CA 93555",https://www.apartments.com/308-w-wilson-ave-ridgecrest-ca/071dq73/,1 BA,880 Sq Ft,880,12 Month Lease,Available Now,,,"$1,39",,,,,
South San Francisco,Condos,CA,94080,"[{'bedroom_type': '2 Beds', 'price': '$3,10'}]","South San Francisco, CA 94080",https://www.apartments.com/514-grand-ave-south-san-francisco-ca/xm69nyq/,1½ BAs,"1,168 Sq Ft","1,168",12 Month Lease,Available Now,,,"$3,10",,,,,
San Mateo,Condos,CA,94404,"[{'bedroom_type': '2 Beds', 'price': '$3,77'}]","1114 Shoreline Dr, San Mateo, CA 94404",https://www.apartments.com/1114-shoreline-dr-san-mateo-ca/7hsw3kz/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$3,77",,,,,
San Ramon,Condos,CA,94583,"[{'bedroom_type': '2 Beds', 'price': '$2,35'}]","9085 Alcosta Blvd, San Ramon, CA 94583",https://www.apartments.com/9085-alcosta-blvd-san-ramon-ca-unit-337/805rls2/,1 BA,"1,039 Sq Ft","1,039",12 Month Lease,Available Now,,,"$2,35",,,,,
Santa Clarita,Condos,CA,91355,"[{'bedroom_type': '1 Bed', 'price': '$2,15'}]","24507 Town Center Dr, Santa Clarita, CA 91355",https://www.apartments.com/24507-town-center-dr-santa-clarita-ca-unit-7419/d1x6w8k/,1 BA,788 Sq Ft,788,12 Month Lease,Available Now,"$2,15",,,,,,,
Fullerton,Condos,CA,92831,"[{'bedroom_type': '2 Beds', 'price': '$1,95'}]","Fullerton, CA 92831",https://www.apartments.com/2000-associated-rd-fullerton-ca/spftmg6/,2 BAs,950 Sq Ft,950,12 Month Lease,Available Now,,,"$1,95",,,,,
Santa Ana,Condos,CA,92701,"[{'bedroom_type': '2 Beds', 'price': '$1,90'}]","450 E 4th St, Santa Ana, CA 92701",https://www.apartments.com/450-e-4th-st-santa-ana-ca-unit-316/9g7xe76/,2 BAs,816 Sq Ft,816,12 Month Lease,Available Now,,,"$1,90",,,,,
