City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,2 Beds,3 Beds,4 Beds,Studio,5 Beds,6 Beds,1 – 3 Beds
Encino,Houses,CA,91436,"[{'bedroom_type': '4 Beds', 'price': '$15,00'}]","4326 Bergamo Dr, Encino, CA 91436",https://www.apartments.com/4326-bergamo-dr-encino-ca/0bftkx3/,3 BAs,"2,700 Sq Ft","2,700",1 Month Lease,Available Now,,,,"$15,00",,,,
San Francisco,Houses,CA,94112,"[{'bedroom_type': '2 Beds', 'price': '$1,99'}]","223 Ottawa Ave, San Francisco, CA 94112",https://www.apartments.com/223-ottawa-ave-san-francisco-ca/r6zs4e3/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,,"$1,99",,,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","2201 Manzanita Ln, Manhattan Beach, CA 90266",https://www.apartments.com/2201-manzanita-ln-manhattan-beach-ca/80jy773/,1 BA,"1,091 Sq Ft","1,091",12 Month Lease,Available Now,,,"$4,50",,,,,
Sunnyvale,Houses,CA,94085,"[{'bedroom_type': '3 Beds', 'price': '$4,30'}]","309 W Arbor Ave, Sunnyvale, CA 94085",https://www.apartments.com/309-w-arbor-ave-sunnyvale-ca/hhqz0g2/,1½ BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$4,30",,,,,
Laguna Hills,Houses,CA,92653,"[{'bedroom_type': '5 Beds', 'price': '$4,45'}]","24746 Clarington Dr, Laguna Hills, CA 92653",https://www.apartments.com/24746-clarington-dr-laguna-hills-ca/mfe5zjl/,2½ BAs,"2,800 Sq Ft","2,800",12 Month Lease,Available Now,,,,,,"$4,45",,
Tujunga,Houses,CA,91042,"[{'bedroom_type': '3 Beds', 'price': '$2,55'}]","10146 Mountair Ave, Tujunga, CA 91042",https://www.apartments.com/10146-mountair-ave-tujunga-ca/frr0qqv/,1½ BAs,850 Sq Ft,850,12 Month Lease,Available Now,,,"$2,55",,,,,
Los Angeles,Houses,CA,91401,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","5516 Fulton Ave, Los Angeles, CA 91401",https://www.apartments.com/5516-fulton-ave-los-angeles-ca/hqxzyv3/,1 BA,"1,300 Sq Ft","1,300",,Available Now,,"$3,50",,,,,,
Monrovia,Houses,CA,91016,"[{'bedroom_type': '2 Beds', 'price': '$2,85'}]","703 S Primrose Ave, Monrovia, CA 91016",https://www.apartments.com/703-s-primrose-ave-monrovia-ca/f7ht1pr/,2 BAs,"1,000 Sq Ft","1,000",6 Month Lease,Available Now,,"$2,85",,,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '5 Beds', 'price': '$8,50'}]","641 17th St, Manhattan Beach, CA 90266",https://www.apartments.com/641-17th-st-manhattan-beach-ca/cb2339f/,4 BAs,"3,500 Sq Ft","3,500",12 Month Lease,Available Now,,,,,,"$8,50",,
San Francisco,Houses,CA,94112,"[{'bedroom_type': '2 Beds', 'price': '$2,70'}]","371 Staples Ave, San Francisco, CA 94112",https://www.apartments.com/371-staples-ave-san-francisco-ca/sznm8k6/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,,"$2,70",,,,,,
Santa Ana,Houses,CA,92705,"[{'bedroom_type': '4 Beds', 'price': '$3,90'}]","17796 E Santa Clara Ave, Santa Ana, CA 92705",https://www.apartments.com/17796-e-santa-clara-ave-santa-ana-ca/vvg2dbd/,2½ BAs,"2,322 Sq Ft","2,322",12 Month Lease,Available Now,,,,"$3,90",,,,
Santa Ana,Houses,CA,92705,"[{'bedroom_type': '4 Beds', 'price': '$3,90'}]","17796 E Santa Clara Ave, Santa Ana, CA 92705",https://www.apartments.com/17796-e-santa-clara-ave-santa-ana-ca/5ekqrhm/,2½ BAs,"2,535 Sq Ft","2,535",,Available Now,,,,"$3,90",,,,
Redlands,Houses,CA,92373,"[{'bedroom_type': '6 Beds', 'price': '$3,50'}]","259 E Crescent Ave, Redlands, CA 92373",https://www.apartments.com/259-e-crescent-ave-redlands-ca/2f63h58/,3½ BAs,"3,602 Sq Ft","3,602",12 Month Lease,Available Now,,,,,,,"$3,50",
San Francisco,Houses,CA,94127,"[{'bedroom_type': '3 Beds', 'price': '$6,50'}]","866 Foerster St, San Francisco, CA 94127",https://www.apartments.com/866-foerster-st-san-francisco-ca/j5gcyw4/,2 BAs,"1,500 Sq Ft","1,500",,Available Now,,,"$6,50",,,,,
Los Angeles,Houses,CA,90043,"[{'bedroom_type': '2 Beds', 'price': '$2,60'}]","4620 Northridge Dr, Los Angeles, CA 90043",https://www.apartments.com/4620-northridge-dr-los-angeles-ca/e329ktp/,1 BA,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,"$2,60",,,,,,
Torrance,Houses,CA,90503,"[{'bedroom_type': '2 Beds', 'price': '$10,30'}]","20914 Hawthorne Blvd, Torrance, CA 90503",https://www.apartments.com/20914-hawthorne-blvd-torrance-ca/hfzt0d0/,3 BAs,"5,100 Sq Ft","5,100",12 Month Lease,Available Now,,"$10,30",,,,,,
Fremont,Houses,CA,94536,"[{'bedroom_type': '3 Beds', 'price': '$3,40'}]","292 Spetti Dr, Fremont, CA 94536",https://www.apartments.com/292-spetti-dr-fremont-ca/17470y4/,2 BAs,"1,290 Sq Ft","1,290",12 Month Lease,Available Now,,,"$3,40",,,,,
Hawthorne,Houses,CA,90250,"[{'bedroom_type': '3 Beds', 'price': '$3,47'}]","11655 S Wilton Pl, Hawthorne, CA 90250",https://www.apartments.com/11655-s-wilton-pl-hawthorne-ca/8wdzjc1/,2 BAs,"1,557 Sq Ft","1,557",12 Month Lease,Available Now,,,"$3,47",,,,,
Los Angeles,Houses,CA,90063,"[{'bedroom_type': '2 Beds', 'price': '$2,50'}]","3117 2nd E St, Los Angeles, CA 90063",https://www.apartments.com/3117-2nd-e-st-los-angeles-ca/1xl3hz4/,1 BA,900 Sq Ft,900,12 Month Lease,Available Now,,"$2,50",,,,,,
Oakland,Houses,CA,94605,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","11260 Kerrigan Dr, Oakland, CA 94605",https://www.apartments.com/11260-kerrigan-dr-oakland-ca/wcg9p4j/,2½ BAs,"1,700 Sq Ft","1,700",6 Month Lease,Available Now,,"$3,50",,,,,,
Glendale,Houses,CA,91206,"[{'bedroom_type': '3 Beds', 'price': '$4,50'}]","116 Coventry Pl, Glendale, CA 91206",https://www.apartments.com/116-coventry-pl-glendale-ca/q1wfjkx/,3½ BAs,"2,100 Sq Ft","2,100",12 Month Lease,Available Now,,,"$4,50",,,,,
Los Angeles,Houses,CA,91401,"[{'bedroom_type': '3 Beds', 'price': '$4,00'}]","14347 Martha St, Los Angeles, CA 91401",https://www.apartments.com/14347-martha-st-los-angeles-ca/1hksbs6/,1½ BAs,"1,300 Sq Ft","1,300",,Available Now,,,"$4,00",,,,,
Glendale,Houses,CA,91203,"[{'bedroom_type': '4 Beds', 'price': '$4,65'}]","452 Salem St, Glendale, CA 91203",https://www.apartments.com/452-salem-st-glendale-ca/4sgtv6h/,3 BAs,"1,988 Sq Ft","1,988",12 Month Lease,Available Now,,,,"$4,65",,,,
