City_Rent,Type,State_Rent,Zip_code,Bedroom_Info,Full_Address,Rent_link,Bath_Info,Square_Feet_Data,Square_Feet,Lease_length,Availability_check,1 Bed,2 Beds,3 Beds,4 Beds,Studio,5 Beds,6 Beds,1 – 3 Beds
Lawndale,Houses,CA,90260,"[{'bedroom_type': '3 Beds', 'price': '$2,99'}]","4737 W 161st St, Lawndale, CA 90260",https://www.apartments.com/4737-w-161st-st-lawndale-ca/f8yzset/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,,"$2,99",,,,,
Anaheim,Houses,CA,92806,"[{'bedroom_type': '5 Beds', 'price': '$3,70'}]","2229 E Nyon Ave, Anaheim, CA 92806",https://www.apartments.com/2229-e-nyon-ave-anaheim-ca/5y6g7kp/,3 BAs,"2,506 Sq Ft","2,506",12 Month Lease,Available Now,,,,,,"$3,70",,
Los Angeles,Houses,CA,90016,"[{'bedroom_type': '3 Beds', 'price': '$5,00'}]","2955 Vineyard Ave, Los Angeles, CA 90016",https://www.apartments.com/2955-vineyard-ave-los-angeles-ca/gb3qdqy/,2 BAs,"1,493 Sq Ft","1,493",12 Month Lease,Available Now,,,"$5,00",,,,,
Palo Alto,Houses,CA,94301,"[{'bedroom_type': '3 Beds', 'price': '$5,80'}]","750 Hamilton Ave, Palo Alto, CA 94301",https://www.apartments.com/750-hamilton-ave-palo-alto-ca/s8segz5/,3 BAs,"2,000 Sq Ft","2,000",12 Month Lease,Available Now,,,"$5,80",,,,,
Manhattan Beach,Houses,CA,90266,"[{'bedroom_type': '1 Bed', 'price': '$1,90'}]","1211 Tennyson St, Manhattan Beach, CA 90266",https://www.apartments.com/1211-tennyson-st-manhattan-beach-ca/w435gck/,1 BA,550 Sq Ft,550,12 Month Lease,Available Now,"$1,90",,,,,,,
Inglewood,Houses,CA,90302,"[{'bedroom_type': '3 Beds', 'price': '$3,50'}]","750 Venice Way, Inglewood, CA 90302",https://www.apartments.com/750-venice-way-inglewood-ca/4jep1zj/,2 BAs,"1,163 Sq Ft","1,163",12 Month Lease,Available Now,,,"$3,50",,,,,
Los Angeles,Houses,CA,90063,"[{'bedroom_type': '3 Beds', 'price': '$2,90'}]","216 S Gage Ave, Los Angeles, CA 90063",https://www.apartments.com/216-s-gage-ave-los-angeles-ca/tfvgye9/,2 BAs,"1,000 Sq Ft","1,000",12 Month Lease,Available Now,,,"$2,90",,,,,
Van Nuys,Houses,CA,91406,"[{'bedroom_type': '3 Beds', 'price': '$3,27'}]","6644 Forbes Ave, Van Nuys, CA 91406",https://www.apartments.com/6644-forbes-ave-van-nuys-ca/yy829zv/,2 BAs,"1,250 Sq Ft","1,250",12 Month Lease,Available Now,,,"$3,27",,,,,
Bakersfield,Houses,CA,93311,"[{'bedroom_type': '4 Beds', 'price': '$2,90'}]","1902 Luton St, Bakersfield, CA 93311",https://www.apartments.com/1902-luton-st-bakersfield-ca/n55yz6q/,3 BAs,"3,239 Sq Ft","3,239",12 Month Lease,Available Now,,,,"$2,90",,,,
Los Angeles,Houses,CA,90065,"[{'bedroom_type': '3 Beds', 'price': '$8,85'}]","378 W Avenue 44, Los Angeles, CA 90065",https://www.apartments.com/378-w-avenue-44-los-angeles-ca/5vgncvp/,2½ BAs,"2,350 Sq Ft","2,350",12 Month Lease,Available Now,,,"$8,85",,,,,
Gardena,Houses,CA,90247,"[{'bedroom_type': '3 Beds', 'price': '$2,80'}]","1939 162nd W St, Gardena, CA 90247",https://www.apartments.com/1939-162nd-w-st-gardena-ca/fp7dtpr/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,"$2,80",,,,,
Ventura,Houses,CA,93001,"[{'bedroom_type': '2 Beds', 'price': '$2,20'}]","82 W Vince St, Ventura, CA 93001",https://www.apartments.com/82-w-vince-st-ventura-ca/m7x89yl/,2 BAs,"1,100 Sq Ft","1,100",12 Month Lease,Available Now,,"$2,20",,,,,,
Los Angeles,Houses,CA,90039,"[{'bedroom_type': '1 Bed', 'price': '$3,20'}]","2378 Loma Vista Pl, Los Angeles, CA 90039",https://www.apartments.com/2378-loma-vista-pl-los-angeles-ca/llzlmwf/,1 BA,"1,100 Sq Ft","1,100",,Available Now,"$3,20",,,,,,,
Huntington Beach,Houses,CA,92646,"[{'bedroom_type': '3 Beds', 'price': '$3,19'}]","8242 Talbert Ave, Huntington Beach, CA 92646",https://www.apartments.com/8242-talbert-ave-huntington-beach-ca/hz7ml92/,2 BAs,"1,200 Sq Ft","1,200",6 Month Lease,Available Now,,,"$3,19",,,,,
Orange,Houses,CA,92869,"[{'bedroom_type': '1 Bed', 'price': '$1,62'}]","218 N Sweetwater Ln, Orange, CA 92869",https://www.apartments.com/218-n-sweetwater-ln-orange-ca/3r1rcme/,1 BA,800 Sq Ft,800,12 Month Lease,Available Now,"$1,62",,,,,,,
San Pedro,Houses,CA,90731,"[{'bedroom_type': '1 Bed', 'price': '$1,65'}]","584 W Santa Cruz St, San Pedro, CA 90731",https://www.apartments.com/584-w-santa-cruz-st-san-pedro-ca/e0dxy8q/,1 BA,600 Sq Ft,600,12 Month Lease,Available Now,"$1,65",,,,,,,
Mountain View,Houses,CA,94041,"[{'bedroom_type': '2 Beds', 'price': '$3,50'}]","482 View St, Mountain View, CA 94041",https://www.apartments.com/482-view-st-mountain-view-ca/3yh7dzf/,1 BA,810 Sq Ft,810,12 Month Lease,Available Now,,"$3,50",,,,,,
Lake Sherwood,Houses,CA,91361,"[{'bedroom_type': '5 Beds', 'price': '$15,75'}]","55 Upper Lake Rd, Lake Sherwood, CA 91361",https://www.apartments.com/55-upper-lake-rd-lake-sherwood-ca/bmmwgtb/,6 BAs,"4,622 Sq Ft","4,622",12 Month Lease,Available Now,,,,,,"$15,75",,
San Francisco,Houses,CA,94134,"[{'bedroom_type': '1 Bed', 'price': '$1,50'}]","295 Oxford St, San Francisco, CA 94134",https://www.apartments.com/295-oxford-st-san-francisco-ca/681lnqv/,1 BA,440 Sq Ft,440,1 Month Lease,Available Now,"$1,50",,,,,,,
Woodland Hills,Houses,CA,91364,"[{'bedroom_type': 'Studio', 'price': '$1,99'}]","22035 De La Guerra St, Woodland Hills, CA 91364",https://www.apartments.com/22035-de-la-guerra-st-woodland-hills-ca/cy7m9mf/,1½ BAs,800 Sq Ft,800,6 Month Lease,Available Now,,,,,"$1,99",,,
El Segundo,Houses,CA,90245,"[{'bedroom_type': '3 Beds', 'price': '$4,69'}]","771 California St, El Segundo, CA 90245",https://www.apartments.com/771-california-st-el-segundo-ca/l9hdd6f/,2 BAs,"1,200 Sq Ft","1,200",12 Month Lease,Available Now,,,"$4,69",,,,,
Los Angeles,Houses,CA,90062,"[{'bedroom_type': '4 Beds', 'price': '$3,50'}]","3980 S Hobart Blvd, Los Angeles, CA 90062",https://www.apartments.com/3980-s-hobart-blvd-los-angeles-ca/1sveq55/,2 BAs,"1,500 Sq Ft","1,500",12 Month Lease,Available Now,,,,"$3,50",,,,
Beverly Hills,Houses,CA,90211,"[{'bedroom_type': '3 Beds', 'price': '$6,45'}]","208 S Swall Dr, Beverly Hills, CA 90211",https://www.apartments.com/208-s-swall-dr-beverly-hills-ca/2w6slk9/,2 BAs,"1,950 Sq Ft","1,950",12 Month Lease,Available Now,,,"$6,45",,,,,
Mammoth Lakes,Houses,CA,93546,"[{'bedroom_type': '3 Beds', 'price': '$5,50'}]","3 Larkspur Ln, Mammoth Lakes, CA 93546",https://www.apartments.com/3-larkspur-ln-mammoth-lakes-ca/egex88q/,2 BAs,"1,400 Sq Ft","1,400",1 Month Lease,May 5,,,"$5,50",,,,,
Oceanside,Houses,CA,92057,"[{'bedroom_type': '3 Beds', 'price': '$2,60'}]","4917 Roja Dr, Oceanside, CA 92057",https://www.apartments.com/4917-roja-dr-oceanside-ca/ext90nm/,2 BAs,"1,196 Sq Ft","1,196",12 Month Lease,Available Now,,,"$2,60",,,,,
